"rec_id","role","reflink","reference"
170,"resource","Wu and others, 1996","Wu, C., Yuan, Z., and Bai, G., 1996, Rare earth deposits in China, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 281-310."
170,"general","Wu and others, 1996","Wu, C., Yuan, Z., and Bai, G., 1996, Rare earth deposits in China, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 281-310."
170,"general","Wen Lu, 1998","Wen Lu, 1998, Chinese industrial minerals: Worcester Park, United Kingdom, Industrial Minerals Information Ltd., 210 p."
170,"general","Zhang Peishan and others, 1995","Zhang Peishan, Yang Zhuming, Tao Kejie, and Yang Zueming, 1995, Mineralogy and geology of rare earths in China: Beijing, China, Science Press, 209 p."
171,"general","Platt, 1996a","Platt, R.G., 1996a, Chapter 4- Nepheline syenite complexes- An overview, in Mitchell, R.H., ed., Undersaturated alkaline rocks: Mineralogy, petrogenesis, and economic potential: Mineralogical Association of Canada Short Course 24, p. 63-99."
171,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
171,"general","Walker and others, 1993","Walker, E.C., Sutcliffe, R.H., Shaw, C.S.J., and Shore, G.T., 1993, Preliminary report on the petrology and chemistry of the rare metal occurrences hosted by the Coldwell Alkaline Complex: Ontario Geological Survey Open File Report 5840, 20 p."
171,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
172,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
172,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
173,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
173,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
174,"resource","Dzien, 1990","Dzien, D.V., 1990, Rare earth deposits, in Geology and mineral resources of Vietnam: Vietnam General Department of Mines and Geology, v. 1, p. 144-147."
174,"general","ESCAP, 1990","Economic and Social Commission for Asia and the Pacific, 1990, Viet Nam: New York, United Nations, Atlas of Mineral Resources of the ESCAP Region, v. 6, 124 p."
174,"general","ESCAP, 1990","Economic and Social Commission for Asia and the Pacific, 1990, Viet Nam: New York, United Nations, Atlas of Mineral Resources of the ESCAP Region, v. 6, 124 p."
174,"general","Dzien, 1990","Dzien, D.V., 1990, Rare earth deposits, in Geology and mineral resources of Vietnam: Vietnam General Department of Mines and Geology, v. 1, p. 144-147."
174,"general","Mariano, 1997","Mariano, A.N., 1997, Mineralogical and textural analysis of bastnaesite ore from Dong Pao, northern Vietnam: confidential report to AMR Technologies Inc."
174,"general","O'Driscoll, 1996","O'Driscoll, Mike, 1996, Minerals of VietnamﾗSandﾒs future black and white: Industrial Minerals, no. 350, p. 73-93."
174,"general","O'Driscoll, 1996","O'Driscoll, Mike, 1996, Minerals of VietnamﾗSandﾒs future black and white: Industrial Minerals, no. 350, p. 73-93."
174,"general","Premoli, 1990","Premoli, Camillo, 1990, Industrial minerals of Vietnam: Industrial Minerals, no. 274, p. 58-71."
176,"general","Hedrick, 1999","Hedrick, J.B., 1999, Rare earths: U.S. Geological Survey Minerals Yearbook 1998."
177,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
177,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
177,"general","Shchiptsov, 1993","Shchiptsov, Vladimir , 1993, Apatite, in Shchiptsov, Vladimir, ed., Precambrian industrial minerals of Karelia (Russia): Petrozavodsk, Russia, Russian Academy of Sciences, Karelian Research Center, Institute of Geology, 83 p. [translated by Gregory Sokolov]."
178,"general","Belolipetskii and Voloshin, 1996","Belolipetskii, A.P., and Voloshin, A.V., 1996, Yttrium and rare earth element minerals of the Kola Peninsula, Russia, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 311-326. Berning, J., 1986, The Roessing uranium deposit, South West Africa/Namibia, in Anhaeusse, C.R., and Maske, S., eds., Mineral deposits of Southern Africa: Johannesburg, South Africa, Geological Society of South Africa, p. 1819-1832. Bossi, Jorge, 1978, Recursos minerales del Uruguay: Montevideo, Uruguay, 348 p."
178,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
178,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
179,"general","British Sulphur Corporation, 1987","British Sulphur Corporation Limited, 1987, A world survey of phosphate deposits: London, The British Sulphur Corporation Limited, 274 p."
179,"general","Li and others, 1996","Li, Y., Luo, Y., Dongye, M., Bi, R., Zhou, M., and Wang, C., 1996, Phosphate deposits of China, in Mineral deposits of China, Volume 4: Beijing, Geological Publishing House."
179,"general","Wen Lu, 1998","Wen Lu, 1998, Chinese industrial minerals: Worcester Park, United Kingdom, Industrial Minerals Information Ltd., 210 p."
180,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
180,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
181,"general","Campbell and others, 1997","Campbell, L.S., Henderson, Paul, and Wall, Francis, 1997, Rare earth chemistry of perovskite group minerals from the Gardiner Complex, East Greenland: Mineralogical Magazine, v. 61, p. 197-212."
181,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
181,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
182,"location","Drysdall and others, 1984","Drysdall, A.R., Jackson, N.J., Ramsay, C.R., Douch, C.J., and Hackett, Damien, 1984, Rare element mineralization related to Precambrian alkali granites in the Arabian Shield: Economic Geology, v. 79, p. 1366-1377."
182,"resource","Drysdall and others, 1984","Drysdall, A.R., Jackson, N.J., Ramsay, C.R., Douch, C.J., and Hackett, Damien, 1984, Rare element mineralization related to Precambrian alkali granites in the Arabian Shield: Economic Geology, v. 79, p. 1366-1377."
182,"general","Drysdall and others, 1984","Drysdall, A.R., Jackson, N.J., Ramsay, C.R., Douch, C.J., and Hackett, Damien, 1984, Rare element mineralization related to Precambrian alkali granites in the Arabian Shield: Economic Geology, v. 79, p. 1366-1377."
183,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
183,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
184,"location","Arab Organisation for Mineral Resources, 1987","Arab Organisation for Mineral Resources, 1987, Mineral deposit map of the Arab world-- Explantaory notes and maps: Rabat, Morocco, Arab Organisation for Mineral Resources, 430 p."
184,"general","Arab Organisation for Mineral Resources, 1987","Arab Organisation for Mineral Resources, 1987, Mineral deposit map of the Arab world-- Explantaory notes and maps: Rabat, Morocco, Arab Organisation for Mineral Resources, 430 p."
185,"resource","Kovalenko and Yarmolyuk, 1995","Kovalenko, V.I., and Yarmolyuk, V.V., 1995, Endogenous rare metal ore formations and rare metal metallogeny of Mongolia: Economic Geology, v. 90, no. 3, p. 520-529."
185,"general","Kovalenko and Yarmolyuk, 1995","Kovalenko, V.I., and Yarmolyuk, V.V., 1995, Endogenous rare metal ore formations and rare metal metallogeny of Mongolia: Economic Geology, v. 90, no. 3, p. 520-529."
186,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
186,"general","Northern Miner, 1986","Northern Miner, 1986, Tantalum find in Greenland: v. 71, no. 52."
186,"general","Pell, 1996","Pell, Jennifer, 1996, Chapter 13- Mineral deposits associated with carbonatites and related alkaline igneous rocks, in Mitchell, R.H., ed., Undersaturated alkaline rocks: Mineralogy, petrogenesis, and economic potential: Mineralogical Association of Canada Short Course 24, p. 271-310."
186,"general","Roskill, 1988","Roskill Information Services, 1988, The economics of rare earths & yttrium, 1994, seventh edition: London, Roskill Information Services, 359 p. + appendices."
186,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
186,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
187,"general","Castor, 1994","Castor, S.B., 1994, Rare earth minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th edition: Littleton, Colorardo, Society for Mining, Metallurgy, and Exploratin, Inc., p. 827-839."
187,"general","Chakhmouradian, 1996","Chakhmouradian, A.R., 1996, On the development of niobium and rare-earth minerals in monticellite-calcite carbonatite of the Oka Complex, Quebec: The Canadian Mineralogist, v. 34, p. 479-484."
187,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
187,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
187,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
187,"general","Laval, 1992","Laval, Michel, 1992, Les terres rares: gisements et aper�u �conomique: Chronique de la Recherche Miniere, no. 507, p. 27-41."
187,"general","Mariano, 1989","Mariano, A.N., 1989, Economic geology of rare earth minerals, in Lipin, B.R., and McKay, G.A., eds., Geochemistry and mineralogy of the rare earth elements: Washington, D.C., Mineralogical Society of America Reviews in Mineralogy 21, p. 309-348."
187,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
187,"resource","Pell, 1996","Pell, Jennifer, 1996, Chapter 13- Mineral deposits associated with carbonatites and related alkaline igneous rocks, in Mitchell, R.H., ed., Undersaturated alkaline rocks: Mineralogy, petrogenesis, and economic potential: Mineralogical Association of Canada Short Course 24, p. 271-310."
187,"general","Sorensen and others, 1978","Sorensen, H., Nielsen, B.L., and Jacobsen, F.L., 1978, Denmark and Greenland, in Bowie, S.H.U., Kvalheim, A., and Haslam, H.W., eds., Mineral deposits of Europe, volume1: Northwest Europe: London, The Institution of Mining and Metallurgy and The Mineralogical Society, p. 251-261."
187,"general","Platt, 1996a","Platt, R.G., 1996a, Chapter 4- Nepheline syenite complexes- An overview, in Mitchell, R.H., ed., Undersaturated alkaline rocks: Mineralogy, petrogenesis, and economic potential: Mineralogical Association of Canada Short Course 24, p. 63-99."
187,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
188,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
188,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
189,"general","de Kun, 1987","de Kun, N., 1987, Mineral economics of Africa: New York, Elsevier, Developments in Economic Geology 22, p. 241-243."
189,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
190,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
190,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
191,"location","Drysdall and others, 1984","Drysdall, A.R., Jackson, N.J., Ramsay, C.R., Douch, C.J., and Hackett, Damien, 1984, Rare element mineralization related to Precambrian alkali granites in the Arabian Shield: Economic Geology, v. 79, p. 1366-1377."
191,"general","Drysdall and others, 1984","Drysdall, A.R., Jackson, N.J., Ramsay, C.R., Douch, C.J., and Hackett, Damien, 1984, Rare element mineralization related to Precambrian alkali granites in the Arabian Shield: Economic Geology, v. 79, p. 1366-1377."
191,"location","Laval, 1992","Laval, Michel, 1992, Les terres rares: gisements et aper�u �conomique: Chronique de la Recherche Miniere, no. 507, p. 27-41."
191,"resource","Laval, 1992","Laval, Michel, 1992, Les terres rares: gisements et aper�u �conomique: Chronique de la Recherche Miniere, no. 507, p. 27-41."
192,"location","Drysdall and others, 1984","Drysdall, A.R., Jackson, N.J., Ramsay, C.R., Douch, C.J., and Hackett, Damien, 1984, Rare element mineralization related to Precambrian alkali granites in the Arabian Shield: Economic Geology, v. 79, p. 1366-1377."
192,"resource","Drysdall and others, 1984","Drysdall, A.R., Jackson, N.J., Ramsay, C.R., Douch, C.J., and Hackett, Damien, 1984, Rare element mineralization related to Precambrian alkali granites in the Arabian Shield: Economic Geology, v. 79, p. 1366-1377."
192,"general","Castor, 1994","Castor, S.B., 1994, Rare earth minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th edition: Littleton, Colorardo, Society for Mining, Metallurgy, and Exploratin, Inc., p. 827-839."
192,"general","Drysdall and others, 1984","Drysdall, A.R., Jackson, N.J., Ramsay, C.R., Douch, C.J., and Hackett, Damien, 1984, Rare element mineralization related to Precambrian alkali granites in the Arabian Shield: Economic Geology, v. 79, p. 1366-1377."
192,"general","Arab Organisation for Mineral Resources, 1987","Arab Organisation for Mineral Resources, 1987, Mineral deposit map of the Arab world-- Explantaory notes and maps: Rabat, Morocco, Arab Organisation for Mineral Resources, 430 p."
192,"general","Matzko and Naqvi, 1978","Matzko, J.J., and Naqvi, M.I., 1978, A summary of niobium and rare earth localities from Haﾒil and other areas in western Saudi Arabia, a preliminary study: U.S. Geological Survey Saudi Arabian Project Report 221, 18 p."
193,"location","Drysdall and others, 1984","Drysdall, A.R., Jackson, N.J., Ramsay, C.R., Douch, C.J., and Hackett, Damien, 1984, Rare element mineralization related to Precambrian alkali granites in the Arabian Shield: Economic Geology, v. 79, p. 1366-1377."
193,"general","Castor, 1994","Castor, S.B., 1994, Rare earth minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th edition: Littleton, Colorardo, Society for Mining, Metallurgy, and Exploratin, Inc., p. 827-839."
193,"general","Drysdall and others, 1984","Drysdall, A.R., Jackson, N.J., Ramsay, C.R., Douch, C.J., and Hackett, Damien, 1984, Rare element mineralization related to Precambrian alkali granites in the Arabian Shield: Economic Geology, v. 79, p. 1366-1377."
193,"general","Arab Organisation for Mineral Resources, 1987","Arab Organisation for Mineral Resources, 1987, Mineral deposit map of the Arab world-- Explantaory notes and maps: Rabat, Morocco, Arab Organisation for Mineral Resources, 430 p."
193,"location","Laval, 1992","Laval, Michel, 1992, Les terres rares: gisements et aper�u �conomique: Chronique de la Recherche Miniere, no. 507, p. 27-41."
193,"resource","Laval, 1992","Laval, Michel, 1992, Les terres rares: gisements et aper�u �conomique: Chronique de la Recherche Miniere, no. 507, p. 27-41."
194,"general","Azevedo Branco, 1984","Azevedo Branco, P.C. de, 1984, Principais dep�sitos minerais: Conceitos, methodologia e listagem, in Schobbenhaus, Carlos, Campos, D. de A., Derze, G.R., Asmus, H.E., eds., Geologia do Brasil; texto explicativo do mapa geol�gico do Brasil e da �rea oce�nica adjacente incluindo dep�sitos minerais: Brazil Divis�o de Geologia e Mineralogia, p. 359-419."
194,"general","Mariano, 1989","Mariano, A.N., 1989, Economic geology of rare earth minerals, in Lipin, B.R., and McKay, G.A., eds., Geochemistry and mineralogy of the rare earth elements: Washington, D.C., Mineralogical Society of America Reviews in Mineralogy 21, p. 309-348."
194,"general","Melcher, 1966","Melcher, G.C., 1966, The carbonatites of Jacupiranga, Sao Paulo, Brazil, in 1966 International Field Institute to Brazil: Washington, D.C., American Geological Institute, p. VII-1 to VI-13."
194,"general","Platt, 1996b","Platt, R.G., 1996b, Chapter 5- The ijolite-series rocks, in Mitchell, R.H., ed., Undersaturated alkaline rocks: Mineralogy, petrogenesis, and economic potential: Mineralogical Association of Canada Short Course 24, p. 101-121."
194,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
194,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
195,"general","Wen Lu, 1998","Wen Lu, 1998, Chinese industrial minerals: Worcester Park, United Kingdom, Industrial Minerals Information Ltd., 210 p."
196,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
196,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
197,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
197,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
198,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
198,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
199,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
199,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
200,"resource","Kovalenko and others, 1995","Kovalenko, V.I., Tsaryeva, G.M., Goreglyad, A.V., Yarmolyuk, V.V., and Troitsky, V.A., 1995, The peralkaline granite-related Khaldzan-Buregtey rare metal (Zr, Nb, REE) deposit, western Mongolia: Economic Geology, v. 90, no. 3, p. 530-547."
200,"general","Kovalenko and Yarmolyuk, 1995","Kovalenko, V.I., and Yarmolyuk, V.V., 1995, Endogenous rare metal ore formations and rare metal metallogeny of Mongolia: Economic Geology, v. 90, no. 3, p. 520-529."
200,"general","Kovalenko and others, 1995","Kovalenko, V.I., Tsaryeva, G.M., Goreglyad, A.V., Yarmolyuk, V.V., and Troitsky, V.A., 1995, The peralkaline granite-related Khaldzan-Buregtey rare metal (Zr, Nb, REE) deposit, western Mongolia: Economic Geology, v. 90, no. 3, p. 530-547."
201,"resource","Kovalenko and Yarmolyuk, 1995","Kovalenko, V.I., and Yarmolyuk, V.V., 1995, Endogenous rare metal ore formations and rare metal metallogeny of Mongolia: Economic Geology, v. 90, no. 3, p. 520-529."
201,"general","Kovalenko and others, 1976","Kovalenko, V.I. Fladykin, N.V., Konusova, V.v., Smirnova, Ye.,V., and Goreglyad, A.V., 1976, Concentrated rare-element mineralization in the southern part of the Gobi Desert, Mongolian People's Republic: Dokl. Akad. Nauk SSSR, v. 230, p. 213-216."
201,"general","Kovalenko and Yarmolyuk, 1995","Kovalenko, V.I., and Yarmolyuk, V.V., 1995, Endogenous rare metal ore formations and rare metal metallogeny of Mongolia: Economic Geology, v. 90, no. 3, p. 520-529."
201,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
202,"general","Castor, 1994","Castor, S.B., 1994, Rare earth minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th edition: Littleton, Colorardo, Society for Mining, Metallurgy, and Exploratin, Inc., p. 827-839."
202,"general","Chakhmouradian, 1996","Chakhmouradian, A.R., 1996, On the development of niobium and rare-earth minerals in monticellite-calcite carbonatite of the Oka Complex, Quebec: The Canadian Mineralogist, v. 34, p. 479-484."
202,"general","Belolipetskii and Voloshin, 1996","Belolipetskii, A.P., and Voloshin, A.V., 1996, Yttrium and rare earth element minerals of the Kola Peninsula, Russia, in Jones, A.P., Wall, Frances, and Williams, C.T., eds., Rare earth minerals-- chemistry, origin and ore deposits: New York, Chapman and Hall, The Mineralogical Society Series 7, p. 311-326. Berning, J., 1986, The Roessing uranium deposit, South West Africa/Namibia, in Anhaeusse, C.R., and Maske, S., eds., Mineral deposits of Southern Africa: Johannesburg, South Africa, Geological Society of South Africa, p. 1819-1832. Bossi, Jorge, 1978, Recursos minerales del Uruguay: Montevideo, Uruguay, 348 p."
202,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
202,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
202,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
202,"general","Neary and Highley, 1984","Neary, C.R., and Highley, D.E., 1984, The economic importance of the rare earth elements, in Henderson, P., ed., Rare earth element geochemistry: New York, Elsevier, Developments in Geochemistry 2, p. 423-466."
202,"general","Pell, 1996","Pell, Jennifer, 1996, Chapter 13- Mineral deposits associated with carbonatites and related alkaline igneous rocks, in Mitchell, R.H., ed., Undersaturated alkaline rocks: Mineralogy, petrogenesis, and economic potential: Mineralogical Association of Canada Short Course 24, p. 271-310."
202,"general","Zaitsev, 1996","Zaitsev, A.N., 1996, Rhombohedral carbonates from carbonatites of the Khibina Massif, Kola Peninsula, Russia: The Canadian Mineralogist, v. 34, p. 453-368."
202,"general","Wall and Mariano, 1996","Wall, F., and Mariano, A.N., 1996, Rare earth mienrals in carbonatites: a discussion centred on the Kangankunde Carbonatite, Malawi, in Jones, A.P.,"
203,"general","Castor, 1994","Castor, S.B., 1994, Rare earth minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th edition: Littleton, Colorardo, Society for Mining, Metallurgy, and Exploratin, Inc., p. 827-839."
203,"general","Currie and Van Breemen, 1996","Currie, K.L., and van Breemen, Otto, 1996, The origin of rare minerals in the Kipawa syenite complex, western Quebec: The Canadian Mineralogist, v. 34, p. 435-451."
203,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
203,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
204,"general","British Sulphur Corporation, 1987","British Sulphur Corporation Limited, 1987, A world survey of phosphate deposits: London, The British Sulphur Corporation Limited, 274 p."
204,"general","Bugge, 1978","Bugge, J.A.W., 1978, Norway, in Bowie, S.H.U., Kvalheim, A., and Haslam, H.W., eds., Mineral deposits of Europe, volume1: Northwest Europe: London, The Institution of Mining and Metallurgy and The Mineralogical Society, p. 199-249."
204,"general","Notholt, 1979","Notholt, A.J.G., 1979, The economic geology and development of igneous phosphate deposits in Europe and the USSR: Economic Geology, v. 74, p. 339-350."
204,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
205,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
205,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
206,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
206,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
207,"location","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
207,"resource","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
207,"general","Kogarko and others, 1995","Kogarko, L.N., Kononova, V.A., Orlova, M.P., and Wooley, A.R., 1995, Alkaline rocks and carbonatites of the world; Part two, Former USSR: London, Chapman and Hall, 226 p."
208,"general","British Sulphur Corporation, 1987","British Sulphur Corporation Limited, 1987, A world survey of phosphate deposits: London, The British Sulphur Corporation Limited, 274 p."
208,"general","Harben and Kuzvart, 1996","Harben, P.W., and Kuzvart, M., 1996, Industrial minerals - a global geology: London, Industrial Minerals Information Ltd., p. 330-340."
208,"general","Notholt, 1979","Notholt, A.J.G., 1979, The economic geology and development of igneous phosphate deposits in Europe and the USSR: Economic Geology, v. 74, p. 339-350."
208,"general","Lyachov, 2000","Lyachov, V.P., 2000, Kovdor, Russia's answer to Phalaborwa: A profile of Russia's rejuvinated baddeleyite, apatite, iron ore producer: Industrial Minerals, v. 396, p. 64-71."
208,"general","Troitsky and others, 1998","Troitsky, Vladimir, Petrov, Igor, and Grishaev, Sergey, authors, and Kendall, Tom, and Keegan, Nina, eds., 1998, Industrial minerals of the CIS: Worcester Park, England, Industrial Minerals Information Ltd., 135 p."
209,"general","de Kun, 1987","de Kun, N., 1987, Mineral economics of Africa: New York, Elsevier, Developments in Economic Geology 22, p. 241-243."
209,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
209,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
210,"general","de Kun, 1987","de Kun, N., 1987, Mineral economics of Africa: New York, Elsevier, Developments in Economic Geology 22, p. 241-243."
